Date,SST_Celsius,SST_Anomaly,HotSpot,HotSpot_Filtered,DHW
2023-04-17,31.1,1.22,1.6000000000000014,1.6000000000000014,2.075714285714286
2023-04-18,31.06,1.17,1.5599999999999987,1.5599999999999987,2.2985714285714285
2023-04-19,31.04,1.14,1.5399999999999991,1.5399999999999991,2.5185714285714282
2023-04-20,31.05,1.13,1.5500000000000007,1.5500000000000007,2.7399999999999998
2023-04-21,31.23,1.3,1.7300000000000004,1.7300000000000004,2.987142857142857
2023-04-22,31.34,1.39,1.8399999999999999,1.8399999999999999,3.25
2023-04-23,31.34,1.38,1.8399999999999999,1.8399999999999999,3.512857142857143
2023-04-24,31.37,1.4,1.870000000000001,1.870000000000001,3.7800000000000002
2023-04-25,31.29,1.31,1.7899999999999991,1.7899999999999991,4.035714285714286
2023-04-26,31.12,1.13,1.620000000000001,1.620000000000001,4.267142857142857
2023-04-27,31.05,1.04,1.5500000000000007,1.5500000000000007,4.488571428571428
2023-04-28,30.86,0.84,1.3599999999999994,1.3599999999999994,4.682857142857143
2023-04-29,31.03,0.99,1.5300000000000011,1.5300000000000011,4.901428571428572
2023-04-30,31.13,1.08,1.629999999999999,1.629999999999999,5.134285714285714
2023-05-01,31.08,1.02,1.5799999999999983,1.5799999999999983,5.359999999999999
2023-05-02,30.84,0.76,1.3399999999999999,1.3399999999999999,5.551428571428572
2023-05-03,30.84,0.75,1.3399999999999999,1.3399999999999999,5.742857142857143
2023-05-04,31.04,0.94,1.5399999999999991,1.5399999999999991,5.962857142857142
2023-05-05,31.17,1.06,1.6700000000000017,1.6700000000000017,6.201428571428571
2023-05-06,31.27,1.14,1.7699999999999996,1.7699999999999996,6.454285714285715
2023-05-07,31.27,1.13,1.7699999999999996,1.7699999999999996,6.707142857142857
2023-05-08,31.4,1.24,1.8999999999999986,1.8999999999999986,6.978571428571428
2023-05-09,31.7,1.54,2.1999999999999993,2.1999999999999993,7.292857142857143
2023-05-10,31.61,1.43,2.1099999999999994,2.1099999999999994,7.594285714285713
2023-05-11,31.69,1.5,2.1900000000000013,2.1900000000000013,7.907142857142857
