date,sst_celsius,dhw,blue,green,red,nir
2023-01-01,27.3142221511726,0.0,0.0552,0.0458,0.0192,0.0135
2023-01-01,27.3142221511726,0.0,0.0571,0.0477,0.0211,0.015
2023-01-01,27.487897407907447,0.0,0.0552,0.0458,0.0192,0.0135
2023-01-01,27.487897407907447,0.0,0.0571,0.0477,0.0211,0.015
2023-01-02,27.43796812684629,0.0,,,,
2023-01-02,27.901033071605603,0.0,,,,
2023-01-03,27.49522680852344,0.0,,,,
2023-01-03,27.673515102273,0.0,,,,
2023-01-04,27.75534705042741,0.0,,,,
2023-01-04,27.60905716381264,0.0,,,,
2023-01-05,27.757795301064927,0.0,,,,
2023-01-05,27.440778456100663,0.0,,,,
2023-01-06,27.71266174274676,0.0,0.271,0.2612,0.2386,0.2398
2023-01-06,27.552839927029744,0.0,0.271,0.2612,0.2386,0.2398
2023-01-07,27.414027912484386,0.0,,,,
2023-01-07,27.56120284014496,0.0,,,,
2023-01-08,27.393533722122843,0.0,,,,
2023-01-08,27.63921862371405,0.0,,,,
2023-01-09,27.39699478390481,0.0,,,,
2023-01-09,27.44472306250274,0.0,,,,
2023-01-10,27.49916628530882,0.0,,,,
2023-01-10,27.723578769362945,0.0,,,,
2023-01-11,27.3210284452592,0.0,,,,
2023-01-11,27.538148313040367,0.0,,,,
2023-01-12,27.62846240205024,0.0,,,,
2023-01-12,27.60778982092192,0.0,,,,
2023-01-13,27.720599132212435,0.0,,,,
2023-01-13,27.44623940653711,0.0,,,,
2023-01-14,27.23409143482449,0.0,,,,
2023-01-14,27.568424314802524,0.0,,,,
2023-01-15,27.36458647481697,0.0,,,,
2023-01-15,27.61796407886544,0.0,,,,
2023-01-16,27.43792391779253,0.0,0.0358,0.0241,0.0094,0.0064
2023-01-16,27.43792391779253,0.0,0.0443,0.0314,0.0156,0.0111
2023-01-16,27.66201433565416,0.0,0.0358,0.0241,0.0094,0.0064
2023-01-16,27.66201433565416,0.0,0.0443,0.0314,0.0156,0.0111
